# x_m,y_m,w_tr_right_m,w_tr_left_m
273.6996,266.8626,8.8757,8.8571
273.6857,267.8320,8.8827,8.8498
273.6693,268.8145,8.8920,8.8403
273.6503,269.8024,8.9040,8.8426
273.6285,270.7932,8.9189,8.8571
273.6039,271.7949,8.9365,8.8693
273.5769,272.7965,8.9265,8.8792
273.5480,273.7981,8.9157,8.8873
273.5178,274.7997,8.9063,8.8941
273.4869,275.8014,8.8976,8.9002
273.4559,276.8032,8.8890,8.9063
273.4255,277.8052,8.8799,8.9130
273.3960,278.8074,8.8699,8.9207
273.3682,279.8098,8.8701,8.9079
273.3420,280.8123,8.8717,8.8961
273.3175,281.8150,8.8718,8.8861
273.2946,282.8177,8.8703,8.8776
273.2728,283.8204,8.8676,8.8703
273.2517,284.8232,8.8642,8.8638
273.2309,285.8260,8.8606,8.8576
273.2101,286.8288,8.8574,8.8513
273.1890,287.8316,8.8546,8.8448
273.1672,288.8342,8.8525,8.8376
273.1442,289.8368,8.8515,8.8293
273.1201,290.8391,8.8517,8.8199
273.0945,291.8413,8.8534,8.8314
273.0678,292.8434,8.8562,8.8426
273.0401,293.8453,8.8600,8.8528
273.0117,294.8471,8.8645,8.8623
272.9825,295.8488,8.8698,8.8711
272.9528,296.8506,8.8757,8.8793
272.9226,297.8523,8.8820,8.8871
272.8922,298.8542,8.8894,8.8947
272.8618,299.8562,8.8968,8.9017
272.8318,300.8583,8.9039,8.9086
272.8021,301.8606,8.9105,8.9159
272.7730,302.8630,8.9166,8.9237
272.7446,303.8655,8.9220,8.9323
272.7171,304.8680,8.9265,8.9418
272.6907,305.8704,8.9299,8.9524
272.6656,306.8728,8.9321,8.9644
272.6421,307.8752,8.9326,8.9781
272.6203,308.8774,8.9315,8.9664
272.5995,309.8795,8.9264,8.9493
272.5794,310.8815,8.9201,8.9332
272.5579,311.8833,8.9152,8.9162
272.5322,312.8845,8.9149,8.8959
272.4994,313.8847,8.9224,8.8698
272.4568,314.8837,8.9415,8.8361
272.4012,315.8813,8.9762,8.7927
272.3297,316.8770,9.0308,8.7484
272.2398,317.8706,9.1088,8.7105
272.1294,318.8618,9.2136,8.6574
271.9966,319.8502,9.3454,8.5849
271.8420,320.8358,9.0386,8.4909
271.6685,321.8190,8.7370,8.3770
271.4787,322.8001,8.4618,8.2443
271.2753,323.7796,8.2085,8.0946
271.0613,324.7577,7.9724,7.9303
270.8393,325.7347,7.7490,7.7546
270.6115,326.7108,7.5356,7.5522
270.3801,327.6864,7.3297,7.3384
270.1477,328.6618,7.1263,7.1220
269.9153,329.6372,6.9105,6.9057
269.6825,330.6125,6.6949,6.6892
269.4494,331.5877,6.4796,6.4725
269.2159,332.5628,6.2648,6.2553
268.9820,333.5378,6.0508,6.0373
268.7478,334.5127,5.8375,5.8234
268.5138,335.4877,5.6239,5.6126
268.2798,336.4626,5.4116,5.4015
268.0461,337.4376,5.1991,5.1906
267.8127,338.4126,4.9867,4.9796
267.5802,339.3878,4.7737,4.7693
267.3487,340.3633,4.5597,4.5600
267.1185,341.3390,4.3441,4.3523
266.8894,342.3148,4.1339,4.1459
266.6614,343.2907,3.9315,3.9418
266.4330,344.2664,3.7286,3.7384
266.2029,345.2414,3.5261,3.5347
265.9690,346.2153,3.3272,3.3233
265.7298,347.1874,3.1341,3.1036
265.4849,348.1579,2.9480,2.8780
265.2338,349.1265,2.7714,2.6458
264.9758,350.0933,2.6025,2.4060
264.7105,351.0581,2.4414,2.1581
264.4374,352.0208,2.2897,2.0736
264.1587,352.9821,2.1449,2.1059
263.8772,353.9428,2.0038,2.1356
263.5958,354.9037,1.9518,2.1655
263.3161,355.8653,2.0492,2.1971
263.0370,356.8274,2.1458,2.2296
262.7584,357.7896,2.2421,2.2685
262.4797,358.7519,2.3384,2.3273
262.2010,359.7142,2.4350,2.3859
261.9217,360.6763,2.5326,2.4437
261.6399,361.6376,2.6335,2.4986
261.3535,362.5975,2.7022,2.5484
261.0604,363.5554,2.7153,2.5913
260.7598,364.5108,2.7364,2.6420
260.4522,365.4641,2.7650,2.6859
260.1375,366.4149,2.8013,2.7226
259.8158,367.3635,2.8452,2.7519
259.4864,368.3094,2.8850,2.7732
259.1488,369.2523,2.8893,2.7860
258.8036,370.1924,2.9018,2.7910
258.4511,371.1297,2.9224,2.7883
258.0917,372.0643,2.9507,2.8048
257.7243,372.9956,2.9879,2.8316
257.3481,373.9232,2.9888,2.8490
256.9625,374.8468,2.9648,2.8565
256.5672,375.7663,2.9516,2.8537
256.1625,376.6815,2.9491,2.8410
255.7484,377.5924,2.9574,2.8184
255.3227,378.4977,2.9792,2.7838
254.8835,379.3961,3.0174,2.7350
254.4286,380.2861,3.0016,2.7382
253.9575,381.1672,2.9685,2.7396
253.4699,382.0389,2.9554,2.7231
252.9654,382.9005,2.9633,2.6882
252.4431,383.7511,2.9938,2.6337
251.9016,384.5896,3.0488,2.5930
251.3400,385.4151,3.0621,2.6700
250.7603,386.2286,3.0057,2.7265
250.1642,387.0311,2.9703,2.7646
249.5544,387.8237,2.9526,2.7865
248.9320,388.6072,2.9512,2.7935
248.2980,389.3821,2.9637,2.7867
247.6535,390.1490,2.9309,2.7972
247.0003,390.9089,2.9098,2.8150
246.3402,391.6633,2.8977,2.8243
245.6752,392.4134,2.8923,2.8271
245.0056,393.1593,2.8932,2.8238
244.3319,393.9015,2.8995,2.8152
243.6543,394.6402,2.8869,2.8132
242.9731,395.3755,2.8741,2.8222
242.2890,396.1083,2.8653,2.8273
241.6027,396.8389,2.8595,2.8294
240.9141,397.5674,2.8570,2.8284
240.2233,398.2938,2.8569,2.8243
239.5301,399.0179,2.8551,2.8170
238.8345,399.7400,2.8565,2.8147
238.1361,400.4594,2.8618,2.8152
237.4349,401.1762,2.8710,2.8119
236.7307,401.8902,2.8845,2.8046
236.0230,402.6008,2.8716,2.7925
235.3117,403.3080,2.8486,2.7755
234.5968,404.0117,2.8308,2.7535
233.8778,404.7114,2.8186,2.7336
233.1548,405.4071,2.8124,2.7348
232.4274,406.0982,2.7948,2.7298
231.6962,406.7851,2.7770,2.7192
230.9612,407.4681,2.7646,2.7033
230.2225,408.1470,2.7579,2.6819
229.4802,408.8220,2.7565,2.6553
228.7342,409.4929,2.7608,2.6632
227.9845,410.1594,2.7518,2.6770
227.2314,410.8219,2.7396,2.6857
226.4752,411.4805,2.7325,2.6895
225.7161,412.1359,2.7297,2.6891
224.9538,412.7872,2.7323,2.6835
224.1875,413.4336,2.7413,2.6717
223.4170,414.0746,2.7573,2.6534
222.6420,414.7098,2.7761,2.6469
221.8622,415.3388,2.7985,2.6697
221.0777,415.9615,2.8290,2.6848
220.2880,416.5773,2.8685,2.6914
219.4927,417.1855,2.9179,2.6888
218.6913,417.7856,2.8672,2.6762
217.8850,418.3788,2.8005,2.6553
217.0748,418.9669,2.7405,2.6279
216.2617,419.5511,2.6857,2.5955
215.4465,420.1323,2.6347,2.5594
214.6297,420.7117,2.6084,2.5722
213.8119,421.2896,2.6042,2.6511
212.9940,421.8676,2.6001,2.7304
212.1770,422.4469,2.6928,2.8116
211.3615,423.0286,2.8599,2.8953
210.5467,423.6111,3.0269,2.9795
