Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.590049;-303.23;-1447.33;0.00615499;-0.00109286;-0.00612637;1.58829;-303.23;-1445.6;0.25282;0.00109286;0.00612637;-1.5533;-0.00308275;-0.000971429;-0.000192145;0.00271067;6.90888e-005;0.000145803;0.0068309;-0.00864818;0.0189432;0.0216198;0.00366412;4.5989e-005;-0.00308275;237.867;0.530599
0.60005;-303.23;-1447.33;0.00615028;-0.00115581;-0.0061266;1.5883;-303.23;-1445.6;0.252818;0.00115581;0.0061266;-1.5533;-0.00301567;-0.00104324;-3.00481e-005;0.00288083;0.00010264;0.000147116;0.00675131;-0.00770645;0.017185;0.0186675;0.00346562;0.000100597;-0.00301567;243.547;0.54584
0.61005;-303.23;-1447.33;0.00614749;-0.00121346;-0.0061271;1.5883;-303.23;-1445.6;0.252818;0.00121346;0.0061271;-1.55329;-0.00295197;-0.00106178;8.60705e-005;0.00289318;0.000119757;0.000150101;0.00665668;-0.00613199;0.0153223;0.0139006;0.00303447;0.000165032;-0.00295197;249.878;0.559251
0.620051;-303.23;-1447.33;0.00614717;-0.00126433;-0.00612797;1.5883;-303.23;-1445.6;0.25282;0.00126433;0.00612797;-1.55329;-0.0028926;-0.00101228;0.00014348;0.00270402;0.000115889;0.000155224;0.00654286;-0.00374962;0.0133262;0.00681645;0.00230624;0.000242014;-0.0028926;257.041;0.570326
0.630052;-303.23;-1447.33;0.00614684;-0.0013152;-0.00612884;1.5883;-303.23;-1445.6;0.252823;0.0013152;0.00612884;-1.55329;-0.00283322;-0.000962791;0.000200889;0.00251487;0.000112021;0.000160346;0.00642904;-0.00136725;0.0113301;-0.000267648;0.00157801;0.000318996;-0.00283322;264.204;0.5814
0.640053;-303.23;-1447.33;0.00614652;-0.00136607;-0.00612971;1.5883;-303.23;-1445.6;0.252826;0.00136607;0.00612971;-1.55329;-0.00277385;-0.000913298;0.000258299;0.00232571;0.000108153;0.000165468;0.00631521;0.00101512;0.00933402;-0.00735175;0.000849781;0.000395979;-0.00277385;271.368;0.592474
0.650054;-303.23;-1447.33;0.00614619;-0.00141694;-0.00613058;1.5883;-303.23;-1445.6;0.252828;0.00141694;0.00613058;-1.55329;-0.00271447;-0.000863805;0.000315708;0.00213655;0.000104285;0.00017059;0.00620139;0.0033975;0.00733794;-0.0144359;0.000121551;0.000472961;-0.00271447;278.531;0.603549
0.660054;-303.23;-1447.33;0.00614704;-0.0014573;-0.00613126;1.58831;-303.23;-1445.6;0.252832;0.0014573;0.00613126;-1.55329;-0.00265666;-0.000782727;0.000365295;0.0018936;9.55933e-005;0.00017695;0.00608832;0.00573074;0.0057553;-0.0205708;-0.000495116;0.000552657;-0.00265666;285.85;0.612922
0.670055;-303.23;-1447.33;0.00615081;-0.0014714;-0.00613149;1.58831;-303.23;-1445.6;0.252836;0.0014714;0.00613149;-1.55328;-0.00260275;-0.000622647;0.000395319;0.0015161;7.48375e-005;0.000186404;0.00597711;0.00794108;0.00520673;-0.0243319;-0.000832752;0.000639141;-0.00260275;293.558;0.618043
0.680056;-303.23;-1447.33;0.00615459;-0.0014855;-0.00613171;1.58831;-303.23;-1445.6;0.252841;0.0014855;0.00613171;-1.55328;-0.00254884;-0.000462568;0.000425342;0.0011386;5.40818e-005;0.000195858;0.00586591;0.0101514;0.00465816;-0.028093;-0.00117039;0.000725624;-0.00254884;301.266;0.623163
