x,y,z,
-30.3358,-197.348,-0.629052,
-99.4268,-222.995,1.24063,
-140.695,-209.766,0.0124543,
-103.429,-220.347,0.33687,
-180.395,-183.479,-0.020341,
-166.19,-190.508,-0.502675,
-151.155,-196.236,-0.278945,
-141.803,-199.45,-0.763582,
-139.139,-198.382,-0.815439,
-166.42,-187.52,-0.63192,
-136.493,-199.308,-0.802308,
-120.2,-204.167,-0.800424,
-189.037,-174.045,-0.0263433,
-154.127,-190.368,-0.796659,
-138.241,-197.669,-0.804682,
-186.197,-176.151,-0.131268,
-172.52,-181.533,-0.679062,
-114.678,-204.873,-0.80309,
-141.233,-194.779,-0.830646,
-148.65,-190.967,-0.770157,
-111.173,-205.565,-0.833616,
-160.763,-184.551,-0.779798,
-145.772,-190.573,-0.839795,
-87.4025,-215.588,-0.327571,
-136.799,-193.573,-0.88242,
-142.205,-191.344,-0.891791,
-148.419,-187.494,-0.899057,
-112.475,-202.726,-0.84181,
-118.367,-199.17,-0.877519,
-123.752,-197.276,-0.882778,
-108.729,-203.389,-0.864276,
-115.398,-199.843,-0.889178,
-121.519,-196.761,-0.889146,
-126.606,-194.534,-0.938386,
-70.6565,-217.43,-0.146945,
-138.721,-188.72,-0.968226,
-103.319,-202.886,-0.827164,
189.26,-165.956,2.25039,
-93.4228,-206.829,-0.787384,
-120.737,-194.577,-0.940506,
-85.0497,-208.407,-0.760347,
-91.2996,-205.536,-0.7615,
-138.838,-185.501,-0.72322,
-82.3559,-207.207,-0.768846,
199.333,-109.59,-0.154884,
-73.0254,-211.579,-0.642242,
-79.2986,-208.348,-0.754161,
-105.973,-195.584,-1.14499,
-153.612,-176.837,-0.783695,
-159.371,-172.52,-0.838125,
-103.426,-197.668,-1.12064,
-88.6749,-202.629,-0.80703,
-178.55,-164.01,-0.753735,
-79.596,-205.498,-0.738806,
-84.9681,-202.997,-0.774584,
-175.63,-163.892,-0.809633,
-161.551,-170.409,-0.720996,
-186.681,-157.7,-0.769198,
-88.1168,-199.814,-0.860944,
-178.4,-161.073,-0.737433,
-79.0286,-202.887,-0.726547,
-189.69,-154.944,-0.768026,
-90.5923,-195.76,-0.717348,
-98.1184,-194.984,-0.789308,
-172.163,-160.958,-0.819842,
-204.766,-145.249,-0.0932788,
-190.186,-151.598,-0.781968,
-196.156,-148.653,-0.682949,
-181.609,-154.946,-0.85263,
-187.511,-151.696,-0.807548,
-172.667,-158.038,-0.717931,
-179.022,-155.139,-0.920041,
-204.684,-143.561,-0.165941,
-174.769,-155.057,-0.812786,
-187.662,-148.561,-0.807876,
-66.3486,-200.147,-0.73925,
-205.483,-140.031,-0.184111,
-176.403,-152.418,-1.01899,
-187.438,-145.499,-0.86038,
-178.817,-149.382,-0.993125,
-205.528,-136.643,-0.266908,
-191.229,-143.734,-0.820243,
-187.524,-142.485,-0.843528,
-184.389,-143.202,-0.879223,
-63.1312,-194.303,-0.548456,
-162.082,-207.1,2.45453,
-180.807,-143.163,-0.927686,
-19.6895,-211.42,-0.617771,
-139.489,-217.093,2.36063,
-145.243,-213.703,1.43724,
-37.5411,-202.985,-0.712005,
-135.426,-217.003,1.3351,
